"eventName","eventDescription","eventConstant","owner","feature","tags","groupDescription","propertyName","propertyDescription","propertyType","propertyPossibleValues","propertyIsNullable"
"DATASCIENCE.DEBUGGING.CLICKED_ON_SETUP","Sent when the user accepts the prompt to install ipykernel 6 automatically.","DebuggingTelemetry.clickedOnSetup","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.CLICKED_RUN_AND_DEBUG_CELL","Sent when the user attempts to start debugging a notebook cell.","DebuggingTelemetry.clickedRunAndDebugCell","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.CLICKED_RUNBYLINE","Sent when the user attempts to start run by line.","DebuggingTelemetry.clickedRunByLine","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.CLOSED_MODAL","Sent when the user dismisses the prompt to install ipykernel 6 automatically.","DebuggingTelemetry.closedModal","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.ENDED_SESSION","Sent when a notebook debugging session ends.","DebuggingTelemetry.endedSession","roblourens","Debugger","","","reason","The reason the session ended.","","'normally' 
'onKernelDisposed' 
'onAnInterrupt' 
'onARestart' 
'withKeybinding' ",false
"DATASCIENCE.DEBUGGING.IPYKERNEL6_STATUS","An event describing whether the environment has ipykernel 6 installed.","DebuggingTelemetry.ipykernel6Status","roblourens","Debugger","","","status","Whether ipykernel 6 is installed.","","'installed' 
'notInstalled' ",false
"DATASCIENCE.DEBUGGING.SUCCESSFULLY_STARTED_IW_JUPYTER","Telemetry sent when we have managed to successfully start the Interactive Window debugger using the Jupyter protocol.","DebuggingTelemetry.successfullyStartedIWJupyterDebugger","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.SUCCESSFULLY_STARTED_RUN_AND_DEBUG_CELL","Sent when the user successfully starts debugging a notebook cell.","DebuggingTelemetry.successfullyStartedRunAndDebugCell","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUGGING.SUCCESSFULLY_STARTED_RUNBYLINE","Sent when the run by line session starts successfully.","DebuggingTelemetry.successfullyStartedRunByLine","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DISABLE_INTERACTIVE_SHIFT_ENTER","Disables using Shift+Enter to run code in IW (this is in response to the prompt recommending users to enable this to use the IW)","Telemetry.DisableInteractiveShiftEnter","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.ENABLE_INTERACTIVE_SHIFT_ENTER","Enable using Shift+Enter to run code in IW (this is in response to the prompt recommending users to enable this to use the IW)","Telemetry.EnableInteractiveShiftEnter","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.ENTER_JUPYTER_URI","A URI has been selected and is being checked for validity.","Telemetry.EnterJupyterURI","IanMatthewHuff","KernelPicker","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","pythonEnvironmentPath","A key, so that rest of the information is tied to this. (hash)
Common to most of the events.","string","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","pythonEnvironmentType","Found plenty of issues when starting kernels with conda, hence useful to capture this info.
Common to most of the events.","","Unknown ()
Conda ()
VirtualEnv ()
PipEnv ()
Pyenv ()
Venv ()
Poetry ()
VirtualEnvWrapper ()",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","pythonEnvironmentVersion","Found plenty of issues when starting Conda Python 3.7, Python 3.7 Python 3.9 (in early days when ipykernel was not up to date)
Common to most of the events.","string","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","resourceHash","Hash of the resource (notebook.uri or pythonfile.uri associated with this).
If we run the same notebook tomorrow, the hash will be the same.
Used to check whether a particular notebook fails across time or not.
This is also used to map different telemetry events related to this same resource. E.g. we could have an event sent for starting a notebook with this hash,
and then later we get yet another event indicating starting a notebook failed. And another event indicating the Python environment used for this notebook is a conda environment or
we have some other event indicating some other piece of data for this resource. With the information across multiple resources we can now join the different data points
and have a better understanding of what is going on, e.g. why something failed.
Common to most of the events.","string","",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.EXECUTE_CELL","Sent when a user executes a cell.","Telemetry.ExecuteCell","donjayamanne","Notebook, InteractiveWindow","Cell Execution","","userExecutedCell","Whether the user executed a cell.
Common to most of the events.","boolean","",true
"DATASCIENCE.EXPORT_NOTEBOOK_AS","Called on the completion of exporting a Jupyter notebook into a new format
This is the result of the operation, so it's not tagged as a user action as that
comes from ExportNotebookAsCommand or ExportNotebookAsQuickPick","Telemetry.ExportNotebookAs","IanMatthewHuff","Import-Export","","","cancelled","Was the export operation cancelled.","boolean","",true
"DATASCIENCE.EXPORT_NOTEBOOK_AS","Called on the completion of exporting a Jupyter notebook into a new format
This is the result of the operation, so it's not tagged as a user action as that
comes from ExportNotebookAsCommand or ExportNotebookAsQuickPick","Telemetry.ExportNotebookAs","IanMatthewHuff","Import-Export","","","format","What format was the export performed to.","","pdf ()
html ()
python ()
ipynb ()",false
"DATASCIENCE.EXPORT_NOTEBOOK_AS","Called on the completion of exporting a Jupyter notebook into a new format
This is the result of the operation, so it's not tagged as a user action as that
comes from ExportNotebookAsCommand or ExportNotebookAsQuickPick","Telemetry.ExportNotebookAs","IanMatthewHuff","Import-Export","","","opened","Did the user end with opening the file in VS Code.","boolean","",true
"DATASCIENCE.EXPORT_NOTEBOOK_AS","Called on the completion of exporting a Jupyter notebook into a new format
This is the result of the operation, so it's not tagged as a user action as that
comes from ExportNotebookAsCommand or ExportNotebookAsQuickPick","Telemetry.ExportNotebookAs","IanMatthewHuff","Import-Export","","","successful","Was the export operation successful.","boolean","",true
"DATASCIENCE.EXPORT_NOTEBOOK_AS_COMMAND","Called when user exports a Jupyter Notebook or IW into a Python file, HTML, PDF, etc.
Command is `Jupyter: Export to Python Script` or `Jupyter: Export to HTML`
Basically user is exporting some jupyter notebook or IW into a Python file or other.","Telemetry.ExportNotebookAsCommand","IanMatthewHuff","Import-Export","","","format","What format was the export performed to.","","pdf ()
html ()
python ()
ipynb ()",false
"DATASCIENCE.EXPORT_NOTEBOOK_AS_FAILED","The Export Notebook operation failed.","Telemetry.ExportNotebookAsFailed","IanMatthewHuff","Import-Export","","","format","What format was the export performed to.","","pdf ()
html ()
python ()
ipynb ()",false
"DATASCIENCE.EXPORT_PYTHON_FILE","User exports a .py file with cells as a Jupyter Notebook.","Telemetry.ExportPythonFileInteractive","IanMatthewHuff","Import-Export, InteractiveWindow","","","","","","",""
"DATASCIENCE.EXPORT_PYTHON_FILE_AND_OUTPUT","User exports a .py file with cells along with the outputs which that file would generate in the Interactive Windows as a Jupyter Notebook.","Telemetry.ExportPythonFileAndOutputInteractive","IanMatthewHuff","Import-Export, InteractiveWindow","","","","","","",""
"DATASCIENCE.FAILED_SHOW_DATA_EXPLORER","Failed to show the data viewer via the variable view.","Telemetry.FailedShowDataViewer","IanMatthewHuff","DataFrameViewer, VariableViewer","","","","","","",""
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","failed","Whether there was a failure.
Common to most of the events.","true","",false
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","failureCategory","A reason that we generate (e.g. kerneldied, noipykernel, etc), more like a category of the error.
Common to most of the events.","string","",true
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","failureSubCategory","Further sub classification of the error. E.g. kernel died due to the fact that zmq is not installed properly.
Common to most of the events.","string","",true
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","kind","What kind of kernel spec did we fail to create.","","'startUsingPythonInterpreter' 
'startUsingDefaultKernel' 
'startUsingLocalKernelSpec' 
'startUsingRemoteKernelSpec' 
'connectToLiveRemoteKernel' ",false
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","pythonErrorFile","Hash of the file name that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","pythonErrorFolder","Hash of the folder that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","pythonErrorPackage","Hash of the module that contains the file in the last frame (from Python stack trace).
Common to most of the events.","string","",true
"DATASCIENCE.FAILED_TO_CREATE_CONTROLLER","Telemetry sent when we fail to create a Notebook Controller (an entry for the UI kernel list in Native Notebooks).","Telemetry.FailedToCreateNotebookController","IanMatthewHuff","KernelPicker","","","stackTrace","Node stacktrace without PII.
Common to most of the events.","string","",true
"DATASCIENCE.GOTO_NEXT_CELL_IN_FILE","Cell Navigation Command in Interactive Window","Telemetry.GotoNextCellInFile","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.GOTO_PREV_CELL_IN_FILE","Cell Navigation Command in Interactive Window","Telemetry.GotoPrevCellInFile","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.IMPORT_NOTEBOOK","Called when user imports a Jupyter Notebook into a Python file.
Command is `Jupyter: Import Jupyter Notebook`
Basically user is exporting some jupyter notebook into a Python file.","Telemetry.ImportNotebook","IanMatthewHuff","Import-Export","","","scope","The command can be called as a command, in which a file then needs to be selected, or with a file
as the context already, in which case the import command doesn't ask for selection.","","'command' 
'file' ",false
"DATASCIENCE.INTERACTIVE_WINDOW_DEBUG_SETUP_CODE_FAILURE","Error information from the debugger output channel while running initialization code.","Telemetry.InteractiveWindowDebugSetupCodeFailure","roblourens","InteractiveWindow, Debugger","","","","","","",""
"DATASCIENCE.JUPYTER_KERNEL_API_ACCESS","Telemetry sent when an extension attempts to use our 3rd party API.","Telemetry.JupyterKernelApiAccess","donjayamanne","N/A","","","allowed","Whether or not the extension was able to use the API.","","'yes' 
'no' ",false
"DATASCIENCE.JUPYTER_KERNEL_API_ACCESS","Telemetry sent when an extension attempts to use our 3rd party API.","Telemetry.JupyterKernelApiAccess","donjayamanne","N/A","","","extensionId","Extension Id that's attempting to use the API.","string","",false
"DATASCIENCE.JUPYTER_KERNEL_API_USAGE","Telemetry sent when an extension uses our 3rd party API.","Telemetry.JupyterKernelApiUsage","donjayamanne","N/A","","","extensionId","Extension Id that's attempting to use the API.","string","",false
"DATASCIENCE.JUPYTER_KERNEL_API_USAGE","Telemetry sent when an extension uses our 3rd party API.","Telemetry.JupyterKernelApiUsage","donjayamanne","N/A","","","pemUsed","Name of the API member used.","keyof IExportedKernelService","",false
"DATASCIENCE.JUPYTER_KERNEL_FILTER_USED","Called when the user clicks accept on the kernel filter UI.","Telemetry.JupyterKernelFilterUsed","IanMatthewHuff","KernelPicker","","","","","","",""
"DATASCIENCE.JUPYTER_KERNEL_HIDDEN_VIA_FILTER","Called when a controller that would have been shown is hidden by a filter.","Telemetry.JupyterKernelHiddenViaFilter","IanMatthewHuff","KernelPicker","","","","","","",""
"DATASCIENCE.JUPYTER_NOT_INSTALLED_ERROR_SHOWN","Sent when we display a message informing the user about Jupyter not being installed (or not detected).","Telemetry.JupyterNotInstalledErrorShown","donjayamanne","N/A","KernelStartup","","","","","",""
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","pythonEnvironmentPath","A key, so that rest of the information is tied to this. (hash)
Common to most of the events.","string","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","pythonEnvironmentType","Found plenty of issues when starting kernels with conda, hence useful to capture this info.
Common to most of the events.","","Unknown ()
Conda ()
VirtualEnv ()
PipEnv ()
Pyenv ()
Venv ()
Poetry ()
VirtualEnvWrapper ()",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","pythonEnvironmentVersion","Found plenty of issues when starting Conda Python 3.7, Python 3.7 Python 3.9 (in early days when ipykernel was not up to date)
Common to most of the events.","string","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","resourceHash","Hash of the resource (notebook.uri or pythonfile.uri associated with this).
If we run the same notebook tomorrow, the hash will be the same.
Used to check whether a particular notebook fails across time or not.
This is also used to map different telemetry events related to this same resource. E.g. we could have an event sent for starting a notebook with this hash,
and then later we get yet another event indicating starting a notebook failed. And another event indicating the Python environment used for this notebook is a conda environment or
we have some other event indicating some other piece of data for this resource. With the information across multiple resources we can now join the different data points
and have a better understanding of what is going on, e.g. why something failed.
Common to most of the events.","string","",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","resourceType","Used to determine whether this event is related to a Notebooks or Interactive window.
Common to most of the events.","","'notebook' 
'interactive' ",true
"DATASCIENCE.KERNEL_CRASH","Sent when Kernel crashes.","Telemetry.KernelCrash","donjayamanne","Notebook, InteractiveWindow","","","userExecutedCell","Whether the user executed a cell.
Common to most of the events.","boolean","",true
"DATASCIENCE.KERNEL_SPEC_LANGUAGE","Sent to detect the different languages of kernel specs used.","Telemetry.KernelSpecLanguage","donjayamanne","N/A","KernelStartup","","kind","Whether this is a local or remote kernel.","","'local' 
'remote' ",false
"DATASCIENCE.KERNEL_SPEC_LANGUAGE","Sent to detect the different languages of kernel specs used.","Telemetry.KernelSpecLanguage","donjayamanne","N/A","KernelStartup","","language","Language of the kernelSpec.","","null or <empty> ",false
"DATASCIENCE.KERNEL_SPEC_LANGUAGE","Sent to detect the different languages of kernel specs used.","Telemetry.KernelSpecLanguage","donjayamanne","N/A","KernelStartup","","usesShell","Whether shell is used to start the kernel. E.g. `""/bin/sh""` is used in the argv of the kernelSpec.
OCaml is one such kernel.","boolean","",true
"DATASCIENCE.NATIVE.OPEN_NOTEBOOK_ALL","Sent when we have opened any Jupyter notebook in a VS Code session.
Not tagging as a user action as this could be something like auto opening a file
from a previous session and not a direct user action.","Telemetry.OpenNotebookAll","IanMatthewHuff","N/A","","","nbformat","Major Format of the Notebook.
Useful in determining the most popular versions of nbformats used by users.","","null or <empty> ",false
"DATASCIENCE.NATIVE.OPEN_NOTEBOOK_ALL","Sent when we have opened any Jupyter notebook in a VS Code session.
Not tagging as a user action as this could be something like auto opening a file
from a previous session and not a direct user action.","Telemetry.OpenNotebookAll","IanMatthewHuff","N/A","","","nbformat_minor","Minor Format of the Notebook.
Useful in determining the most popular versions of nbformats used by users.","","null or <empty> ",false
"DATASCIENCE.NO_ACTIVE_KERNEL_SESSION","Send when we want to install data viewer dependendies, but don't have an active kernel session.
Used by the dataViewerDependencyService.","Telemetry.NoActiveKernelSession","IanMatthewHuff","DataFrameViewer","","","","","","",""
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","actionSource","Whether this was started by Jupyter extension or a 3rd party.
Common to most of the events.","","jupyterExtension ()
3rdPartyExtension ()",false
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","capturedEnvVars","Whether we managed to capture the environment variables or not.
In the case of conda environments, `false` would be an error condition, as we must have env variables for conda to work.
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","disableUI","Whether the notebook startup UI (progress indicator & the like) was displayed to the user or not.
If its not displayed, then its considered an auto start (start in the background, like pre-warming kernel)
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","isUsingActiveInterpreter","Whether this resource is using the active Python interpreter or not.
Common to most of the events.","boolean","",true
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","kernelConnectionType","Whether kernel was started using kernel spec, interpreter, etc.
Common to most of the events.","KernelConnectionMetadata['kind']","",true
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","kernelId","Hash of the Kernel Connection id.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","kernelLanguage","Language of the kernel connection.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","kernelSessionId","Unique identifier for an instance of a notebook session.
If we restart or run this notebook tomorrow, this id will be different.
Id could be something as simple as a hash of the current Epoch time.
Common to most of the events.","string","",false
"DATASCIENCE.NOTEBOOK_INTERRUPT","Telemetry sent when user interrupts the kernel.
Check the `resourceType` to determine whether its a Jupyter Notebook or IW.","Telemetry.NotebookInterrupt","donjayamanne","Notebook, InteractiveWindow","","When interrupt is a success ","pythonEnvironmentPackages","Comma delimited list of hashed packages & their versions.
Common to most of the events.","string","",true
